"Southey, Henry Herbert"
Letter 2.734 21 November 1802 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.734.html
Letter 2.741 6 December 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.741.html
Letter 2.749 11 January 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.749.html
Letter 2.750 12 January 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.750.html
Letter 2.754 23 January 1803 (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.754.html
Letter 2.760 14 February 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.760.html
Letter 2.777 1 May 1803 (5 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.777.html
Letter 2.802 23 June 1803 (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.802.html
Letter 2.829 24 August [1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.829.html
Letter 2.834 [early September 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.834.html
Letter 2.837 8 September [1803] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.837.html
Letter 2.844 [19 October 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.844.html
Letter 2.845 [c. 24-26 October 1803] (5 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.845.html
Letter 2.847 29 October 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.847.html
Letter 2.850 10 November 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.850.html
Letter 2.851 11 November [1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.851.html
Letter 2.852 [15 November 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.852.html
