"Fricker, Edith"
Letter 2.318 27 May 1798 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.318.html
Letter 2.320 29–31 May 1798 (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.320.html
Letter 2.323 6 June 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.323.html
Letter 2.324 [c. 8 June 1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.324.html
Letter 2.327 14 June [1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.327.html
Letter 2.328 15 June 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.328.html
Letter 2.330 27 June 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.330.html
Letter 2.331 8 July 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.331.html
Letter 2.336 21 July 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.336.html
Letter 2.337 23–25 July 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.337.html
Letter 2.343 26 August 1798 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.343.html
Letter 2.345 29 August 1798 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.345.html
Letter 2.346 2 September [1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.346.html
Letter 2.348 18 September [1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.348.html
Letter 2.349 26 September 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.349.html
Letter 2.351 5 October [1798] (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.351.html
Letter 2.353 22 October 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.353.html
Letter 2.354 29 October 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.354.html
Letter 2.355 [30 October 1798] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.355.html
Letter 2.356 6 November 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.356.html
Letter 2.357 11 November 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.357.html
Letter 2.360 14 December 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.360.html
Letter 2.365 2 January 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.365.html
Letter 2.366 3 January 1799 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.366.html
Letter 2.369 5 January 1799 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.369.html
Letter 2.373 21 January 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.373.html
Letter 2.374 22 January 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.374.html
Letter 2.379 12 February 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.379.html
Letter 2.385 1 March 1799 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.385.html
Letter 2.386 5 March 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.386.html
Letter 2.392 28 March 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.392.html
Letter 2.396 6 April 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.396.html
Letter 2.399 18 April 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.399.html
Letter 2.415 5 June 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.415.html
Letter 2.416 10 June 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.416.html
Letter 2.421 12 July 1799 (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.421.html
Letter 2.422 13 July 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.422.html
Letter 2.423 19–22 July 1799 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.423.html
Letter 2.424 29 July 1799 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.424.html
Letter 2.425 2–3 August 1799 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.425.html
Letter 2.426 3 August 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.426.html
Letter 2.427 [mid-August 1799] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.427.html
Letter 2.428 20 August 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.428.html
Letter 2.429 21 August 1799 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.429.html
Letter 2.430 [25] August 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.430.html
Letter 2.432 [started before and continued after] 3 September [1799],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.432.html
Letter 2.433 [4 September 1799],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.433.html
Letter 2.434 6 September 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.434.html
Letter 2.435 19 September [1799],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.435.html
Letter 2.436 21 September [1799],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.436.html
Letter 2.437 22 September 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.437.html
Letter 2.438 24 September 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.438.html
Letter 2.442 10 October 1799 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.442.html
Letter 2.443 10 October 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.443.html
Letter 2.444 11 October 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.444.html
Letter 2.445 12 October 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.445.html
Letter 2.447 18 October 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.447.html
Letter 2.451 26 October 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.451.html
Letter 2.458 29 November[–1 December] 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.458.html
Letter 2.459 5 December 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.459.html
Letter 2.466 [c. 23 December 1799] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.466.html
Letter 2.470 27 December 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.470.html
Letter 2.474 8 January 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.474.html
Letter 2.476 9 January 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.476.html
Letter 2.479 17 January 1800 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.479.html
Letter 2.480 24 January 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.480.html
Letter 2.483 30 January 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.483.html
Letter 2.485 3 February 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.485.html
Letter 2.490 18 February 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.490.html
Letter 2.495 [12 March 1800] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.495.html
Letter 2.500 23 March 1800 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.500.html
Letter 2.501 24 March 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.501.html
Letter 2.505 1 April 1800 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.505.html
Letter 2.506 2 April 1800 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.506.html
Letter 2.511 [13 April 1800],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.511.html
Letter 2.513 19 April 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.513.html
Letter 2.516 [1] May [1800] (5 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.516.html
Letter 2.517 1 May 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.517.html
Letter 2.518 2 May 1800 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.518.html
Letter 2.519 2 May 1800 (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.519.html
Letter 2.520 2 May 1800 (5 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.520.html
Letter 2.521 2 May 1800 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.521.html
Letter 2.522 3 May 1800 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.522.html
Letter 2.523 8–9 May 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.523.html
Letter 2.524 9 May 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.524.html
Letter 2.525 9 May 1800 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.525.html
Letter 2.526 23 May 1800 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.526.html
Letter 2.527 23 May 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.527.html
Letter 2.528 30 May–6 June 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.528.html
Letter 2.531 [15 June 1800] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.531.html
Letter 2.532 15 June 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.532.html
Letter 2.533 22 June 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.533.html
Letter 2.534 [22–]23 June 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.534.html
Letter 2.537 [8] July 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.537.html
Letter 2.539 25 July 1800 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.539.html
Letter 2.540 26 July 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.540.html
Letter 2.541 21 August 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.541.html
Letter 2.542 22 August 1800 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.542.html
Letter 2.544 25 August 1800 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.544.html
Letter 2.545 1 September 1800 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.545.html
Letter 2.546 13 September 1800 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.546.html
Letter 2.547 13 September 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.547.html
Letter 2.552 [27 October 1800],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.552.html
Letter 2.553 29 October 1800 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.553.html
Letter 2.555 [c. 29–30? October 1800] (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.555.html
Letter 2.556 30 October 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.556.html
Letter 2.557 6 November 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.557.html
Letter 2.560 10 December 1800 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.560.html
Letter 2.561 16 December 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.561.html
Letter 2.566 12 February-28 March 1801 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.566.html
Letter 2.571 27 March 1801 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.571.html
Letter 2.572 28 March 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.572.html
Letter 2.573 28 March 1801 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.573.html
Letter 2.574 [28 March 1801] (6 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.574.html
Letter 2.575 3 April 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.575.html
Letter 2.579 6 May 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.579.html
Letter 2.580 6 May 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.580.html
Letter 2.581 13 May 1801 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.581.html
Letter 2.585 [mid-June-]21 October 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.585.html
Letter 2.591 11 July [1801] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.591.html
Letter 2.593 26 July 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.593.html
Letter 2.595 27 July 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.595.html
Letter 2.596 1 August 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.596.html
Letter 2.598 17 August 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.598.html
Letter 2.604 [late August/ early September 1801],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.604.html
Letter 2.605 6 September 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.605.html
Letter 2.607 [22] September 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.607.html
